"sampno","R0","sigma","rho","theta","N","psi","t0","lnlike"
1,2.75261923709095,0.23262727961542,0.00898854142677686,0.140620502324542,66870000,17.2625483657312,54.8517687696731,8.7970304624544
11,2.75983356889062,0.284443731349378,0.00741266741756045,0.143943113487431,66870000,16.2386493494955,59.2830916082715,8.0592574692208
21,2.74941104643279,0.311669269754818,0.00885626016788907,0.141027802991471,66870000,16.8990779906506,52.5144341609993,7.99587877796858
31,2.69957821712631,0.208315901988858,0.0139781407398968,0.146328516269194,66870000,18.1880076681374,62.43426637075,5.4425969018838
41,2.70279920941024,0.215940587506018,0.0140521073027378,0.157215019800144,66870000,17.1962597035452,58.8777215779421,3.27106028925898
51,2.73337443828017,0.469730838747925,0.0150891897412982,0.135858693482612,66870000,16.5883284950299,25.2134448182968,4.62868435274638
61,2.7528358913098,0.487692466016624,0.00596920305285771,0.138712346009426,66870000,18.3146910794291,37.949656944444,5.46814425055986
71,2.75632432526593,0.42456329419271,0.0105748228197875,0.143120728226037,66870000,18.5845897899817,46.8857198126796,5.94730369150679
81,2.75229604773934,0.264528103101496,0.017331798640071,0.146456902791919,66870000,17.8733116183424,15.5236840151928,6.5061129574287
91,2.78781076075471,0.262369674100348,0.0069915099764403,0.136146494314588,66870000,17.0422283580415,45.6862697133455,7.29627476482951
101,2.78127102607414,0.210861385100376,0.00638742453657841,0.13527051298053,66870000,18.0294991804861,37.0747231582566,7.59697901404344
111,2.76854637468328,0.299675467492872,0.00887186630475273,0.134985627145914,66870000,17.6796022204229,43.4492304428748,7.57556819933585
121,2.73460253432509,0.287389502769931,0.00598411850511232,0.133366085241649,66870000,16.4373791139808,7.96347811439313,7.51125285095236
131,2.73317843651434,0.268697977022179,0.00662948961637226,0.130421688037314,66870000,14.6093893077125,37.5446110517927,6.61732811989144
141,2.73972628651862,0.254680176542642,0.0117664635551391,0.136713715848433,66870000,14.8877898699031,45.0314099893646,7.60679675675335
151,2.74199913181626,0.218295575318468,0.00821657426938093,0.142191586250616,66870000,14.8789082410347,50.5187529184048,8.19623849901885
161,2.76675800310645,0.182508318669902,0.00971191592651478,0.145296916123699,66870000,14.725422232496,62.9904421849536,7.14614986345015
171,2.7359152965598,0.228061760380708,0.0145963951189275,0.145703130397362,66870000,14.509839864212,65.9099972799726,6.69834131584408
181,2.75788968552404,0.193150468347916,0.0105344367638345,0.152601622661036,66870000,14.5284771151015,58.735414012537,6.03402566100358
191,2.77526222793308,0.215647957192317,0.00731924025647804,0.149281399118824,66870000,14.4116477833472,70.842964587563,6.61177041302567
201,2.77618854688768,0.352930258396376,0.0059714777136504,0.14187623450489,66870000,16.7617583163432,71.3952758513662,6.72759697455252
211,2.74413290884626,0.257215991284358,0.0112175791547654,0.150154515640652,66870000,18.8142680469221,48.9304132317775,6.92835310586274
221,2.70460656892698,0.308588460086304,0.00776383388115848,0.14529246612082,66870000,16.7597485352047,58.2847334101717,6.12720045481457
231,2.70869275766726,0.355667643199903,0.00478667151760928,0.136157081373624,66870000,18.7409344921456,41.4316358754939,5.09588862887712
241,2.77755931496223,0.417989700614826,0.00297956921762133,0.134609512503588,66870000,15.7166324211949,36.2435720337528,4.09214217586569
251,2.77271940906625,0.245829993641472,0.0093804581444485,0.135313591783561,66870000,15.5913978490817,13.356855515256,7.83163457262954
261,2.73350755306301,0.193799264089306,0.00572822779404846,0.1275956929803,66870000,16.4529308661979,14.9043633800902,6.62043307619521
271,2.76871479927518,0.266114078364566,0.00854278039620496,0.132226751624269,66870000,15.2245963231851,15.66427019326,7.28853714104573
281,2.74300241281784,0.150691955369181,0.0083710404376199,0.131382240615126,66870000,15.838837183577,27.9742971238362,5.61249290214304
291,2.71605899119124,0.172765736259295,0.0117683047019665,0.134730456550951,66870000,17.0099908779698,3.34200500043002,6.48861201276194
301,2.7071693208922,0.27325474146421,0.00499732436202237,0.135674847411287,66870000,17.5549408697191,16.1976658594087,6.43263596339466
311,2.71063687065425,0.204183723863111,0.00799912094297103,0.138108238601512,66870000,20.6407801358261,8.27719538620229,5.85153921909167
321,2.72338407411136,0.358996837410332,0.00773270342155022,0.140996106435413,66870000,20.624867188259,7.06314122929045,5.17227589803556
331,2.7202369462785,0.264141667803219,0.00698104209999109,0.138370557179848,66870000,18.6891555530849,10.5628280300585,7.48063349113627
341,2.73315977226125,0.265517204271814,0.0131269700275043,0.144550807838622,66870000,17.428936841003,10.4544945056766,7.55057533607116
351,2.72998656378948,0.219880231114746,0.00814022198565739,0.147870945049028,66870000,18.6616258430214,32.3428724851675,7.56408282407115
361,2.71837710966459,0.204279056944244,0.0136908109701825,0.148286334508235,66870000,15.7300043966605,23.6036301093294,6.38690267091085
371,2.7265136086932,0.323524460930014,0.00596036716103907,0.147927924591951,66870000,16.5267421513175,60.9694819494993,6.60279971782557
381,2.71887054618118,0.176461766609728,0.00928590823524228,0.144055070530618,66870000,18.8536969999536,55.5386555919677,6.76339043921079
391,2.74813582210354,0.28423042180476,0.0224075185983048,0.142762529527251,66870000,20.9631231534446,30.0312174139176,3.25377460172423
401,2.77463759710261,0.188259764077756,0.0113568086180583,0.15418860045061,66870000,20.5213332132943,9.11578298755949,4.16730575258181
411,2.77392002705693,0.241556336901938,0.0123314930140021,0.15623805935991,66870000,20.3837385694703,0.288539790380515,3.78430160150703
421,2.73723606248398,0.198186122868187,0.0111078600867428,0.1438217600111,66870000,18.1468428616731,21.7619604788746,8.02976277772119
431,2.73035068054914,0.186560290914003,0.0057750591707249,0.143513752702965,66870000,16.7009085361575,5.56903707198945,7.85644056119053
441,2.7840852095973,0.171966096087535,0.00365858344250186,0.138591725621488,66870000,17.957547353399,18.8770744272169,5.9757671400071
451,2.79747267360683,0.196134430450054,0.00557085926877798,0.135209133264876,66870000,18.3937026531329,46.0677849958442,6.17149614934973
461,2.77394710845555,0.283460264124253,0.00578801274863035,0.13954996652631,66870000,17.2721760812559,66.6782115164661,7.73228471009586
471,2.73031155442179,0.184682000060792,0.00983558699125791,0.156809666656723,66870000,16.6362247644474,22.3931540368687,5.14370935229073
481,2.71326029403258,0.425618935443674,0.0169316333982656,0.14669600159434,66870000,14.9344634722485,33.9820367356414,3.01375906366283
491,2.73434985946014,0.366143265590794,0.00871888338992355,0.129796744781945,66870000,15.5405751654934,21.8093348268511,5.75944244894902
501,2.71763512706534,0.242677040400833,0.00696361512692784,0.141664249264747,66870000,18.0525666843408,18.1257765721197,7.75010556546267
511,2.71763512706534,0.242677040400833,0.00696361512692784,0.141664249264747,66870000,18.0525666843408,18.1257765721197,7.75010556546267
521,2.7287372136267,0.188174132506633,0.00479216001765452,0.13843413906307,66870000,19.1655354838859,45.4693897903605,7.11325380081368
531,2.71055875521787,0.162931042509627,0.00703442430161586,0.137105279703973,66870000,18.8941896094487,74.7689446690467,5.71254129318781
541,2.72075740241549,0.200753680505672,0.0066052736258561,0.139859367781294,66870000,17.5686199605139,74.8545382801052,7.95411341378257
551,2.73100006054853,0.198901268063205,0.00784374892479082,0.125041044003739,66870000,19.5950788267977,32.6061441035348,5.30961701095229
561,2.73858436810378,0.405684564247937,0.00468565044799295,0.131231654145,66870000,15.9236256673706,55.5977935753832,5.27670209097268
571,2.74201804335277,0.179997373071964,0.00764947916562877,0.139698880316228,66870000,13.4126976426348,26.2802387081048,6.64192831546321
581,2.76527929583785,0.350120699744848,0.00858298452113499,0.144637460043236,66870000,16.4607665253501,50.309747873997,7.05975347543412
591,2.73335205910671,0.259802579803147,0.0109214064094293,0.14353427258496,66870000,16.3816926303249,37.5337112107041,8.03916273850248
601,2.74815466120365,0.18083825311962,0.0115421457067684,0.138088990120791,66870000,15.4809697590225,12.3300293342766,7.70006837387357
611,2.72077525916563,0.279379570037841,0.00959469115931692,0.137452684528521,66870000,17.5197411143902,5.19484826356455,7.58624666260993
621,2.71735917798186,0.404710458256454,0.0107120196785943,0.13585203977516,66870000,15.5423374534515,34.2739204772074,5.32312280621566
631,2.73785511123711,0.476099419535691,0.0148250614953952,0.138681090817442,66870000,15.7233879785761,50.5548472890254,4.70003212915074
641,2.7349418385345,0.211980074679251,0.0127136010775525,0.141733660823905,66870000,17.9251432596817,54.6412409021509,8.01698703453329
651,2.75251524568931,0.311453577681089,0.00872783394728246,0.140508462797963,66870000,18.136532931451,31.3975491882561,7.84769705199562
661,2.73805467446633,0.21667449387236,0.0104850885869888,0.138026885234839,66870000,17.8537489982953,12.6282009057767,8.45143348874356
671,2.74896960773469,0.213831276587275,0.00667545943788491,0.136960624018743,66870000,20.6368039617825,32.7577700672614,7.03781463003147
681,2.73520059033801,0.257518529269012,0.00806933127491477,0.132558753639107,66870000,16.5363368827414,61.3363822683484,7.90608133650152
691,2.74149189543152,0.191670702041167,0.00418435551507371,0.129259160447404,66870000,16.122728481612,24.7015673800409,6.59046419715424
701,2.76334641210653,0.249511815740189,0.00498558531842454,0.130054460477596,66870000,16.1967507000921,22.4760306791711,7.12560530008727
