"sampno","R0","sigma","rho","theta","N","psi","t0","lnlike"
1,2.75179633399513,0.219140079818094,0.00720080091675281,0.139295756997226,66800000,17.1857379592039,23.0196407233598,-25184.7468951375
11,2.75179633399513,0.0928278898211328,0.00722222073759421,0.301300532597734,66800000,17.2764013235938,21.2046165845823,-702.007123975332
21,3.16734125366476,0.0928278898211328,0.00722222073759421,0.199149787606357,66800000,15.5032962915503,18.0443313431461,-273.855255135858
31,3.16734125366476,0.0928278898211328,0.00722222073759421,0.191515606309904,66800000,15.0764797150405,18.0443313431461,-263.438389675834
41,2.88098815948744,0.0928278898211328,0.00887354706238493,0.191515606309904,66800000,14.1539032215733,17.2636773922714,-166.139437228549
51,2.88098815948744,0.0928278898211328,0.00932777592969596,0.191515606309904,66800000,14.661688464672,17.2636773922714,-161.715473901955
61,2.88098815948744,0.0928278898211328,0.0122552949358849,0.157889297284501,66800000,14.3362521519667,16.4120007259772,-131.291854991438
71,2.88098815948744,0.0928278898211328,0.011889612204968,0.157889297284501,66800000,14.3362521519667,16.4120007259772,-130.76438220636
81,2.88098815948744,0.0928278898211328,0.011889612204968,0.157889297284501,66800000,14.4659943535008,16.4120007259772,-130.680086208683
91,2.88098815948744,0.0928278898211328,0.011889612204968,0.157889297284501,66800000,14.0979435905829,16.4120007259772,-130.930179557052
101,2.88098815948744,0.0928278898211328,0.011889612204968,0.157889297284501,66800000,13.9755683636541,16.4120007259772,-131.020836471988
111,2.88098815948744,0.0928278898211328,0.011889612204968,0.157889297284501,66800000,13.9755683636541,16.4120007259772,-131.020836471988
121,2.88098815948744,0.0928278898211328,0.011889612204968,0.157889297284501,66800000,13.9755683636541,16.4120007259772,-131.020836471988
131,2.88098815948744,0.0928278898211328,0.011889612204968,0.157889297284501,66800000,14.1551009082251,16.4120007259772,-130.88911948692
141,2.83799493877724,0.0928278898211328,0.011889612204968,0.157889297284501,66800000,13.4103973308593,16.4120007259772,-127.374704823828
151,2.83799493877724,0.0928278898211328,0.0105989338905691,0.157889297284501,66800000,13.3512120565648,16.4120007259772,-127.63108334859
161,2.83799493877724,0.0928278898211328,0.0118976846319763,0.157889297284501,66800000,13.3512120565648,16.4120007259772,-127.443379206845
171,2.83799493877724,0.0928278898211328,0.0118976846319763,0.157889297284501,66800000,13.4901625377607,16.4120007259772,-127.319042401243
181,2.83799493877724,0.0928278898211328,0.0118976846319763,0.154736353835406,66800000,13.4901625377607,15.7428596987156,-125.94243259417
191,2.83799493877724,0.0928278898211328,0.0114607213140605,0.154736353835406,66800000,13.4901625377607,15.7428596987156,-125.714853524331
201,2.83799493877724,0.0928278898211328,0.0114607213140605,0.154736353835406,66800000,13.5615182446564,15.9256113739684,-125.652878245643
211,2.83799493877724,0.0928278898211328,0.0114607213140605,0.154736353835406,66800000,13.5615182446564,15.9256113739684,-125.652878245643
221,2.83799493877724,0.0928278898211328,0.0114607213140605,0.154736353835406,66800000,13.5615182446564,16.3869834450307,-125.652878245643
231,2.83799493877724,0.0928278898211328,0.0121143832366122,0.154736353835406,66800000,13.2072499522256,16.1910870764405,-126.52128494242
241,2.83799493877724,0.0928278898211328,0.0121143832366122,0.154736353835406,66800000,14.3614004342599,16.1910870764405,-128.081880491755
251,2.83799493877724,0.0928278898211328,0.0121143832366122,0.154736353835406,66800000,14.3614004342599,15.9876228257781,-128.081880491755
261,2.83799493877724,0.0928278898211328,0.0121143832366122,0.154736353835406,66800000,14.3645383644399,15.3022377183661,-125.591373080872
271,2.83799493877724,0.0928278898211328,0.0121143832366122,0.154736353835406,66800000,13.8035570474822,15.3022377183661,-126.000321770396
281,2.83799493877724,0.0928278898211328,0.0111950948444335,0.154736353835406,66800000,13.8035570474822,15.3022377183661,-125.602282674581
291,2.83799493877724,0.0928278898211328,0.0111950948444335,0.154736353835406,66800000,13.8035570474822,15.3022377183661,-125.602282674581
301,2.83799493877724,0.0928278898211328,0.0111950948444335,0.154736353835406,66800000,14.0141997532701,15.3022377183661,-125.439502120165
311,2.83799493877724,0.0928278898211328,0.0114376546401671,0.154736353835406,66800000,14.0141997532701,15.3022377183661,-125.293516965352
321,2.83799493877724,0.0928278898211328,0.0114376546401671,0.154736353835406,66800000,14.2687355604504,15.3022377183661,-125.111617256024
331,2.83799493877724,0.0928278898211328,0.0114376546401671,0.154736353835406,66800000,14.1744325717228,15.3022377183661,-125.177120487648
