"sampno","R0","sigma","rho","theta","N","psi","t0","lnlike"
1,2.45468052327633,0.213048764450762,0.0265236117518507,0.139530466767028,66800000,16.8680268020835,2.46454923902639,1.25878488561885
11,2.45468052327633,0.213048764450762,0.0265236117518507,0.139530466767028,66800000,16.8680268020835,2.46454923902639,1.25878488561885
21,2.9781995314716,0.311161054123203,0.0081719054868475,0.141393115797377,66800000,18.581619076348,5.82835822536758,-0.330946299843994
31,2.77191936429859,0.193817873268231,0.0442540690366887,0.140270218945229,66800000,19.2613122430893,9.88807469157513,0.280815160654041
41,2.58088751681715,0.231833277655643,0.0593487975732894,0.138325609800114,66800000,19.3662193636041,13.7021912503264,0.527121713334538
51,2.31119829392056,0.402539474012025,0.0780184764914765,0.133991999486134,66800000,18.6628102890306,13.4257251380296,-1.53081321411389
61,1.76934937296714,0.19036993541126,0.0345822656110522,0.134849641695994,66800000,17.4073299179266,4.61413425688925,-0.356476813800375
71,1.76934937296714,0.19036993541126,0.0345822656110522,0.134849641695994,66800000,17.4073299179266,4.61413425688925,-0.356476813800375
81,2.07427005048197,0.259124482502183,0.00037475457937327,0.130950563610715,66800000,18.06624549073,0.259152539033311,-0.259491588494339
91,1.94931603382962,0.226558380224584,0.0233580035815249,0.140477323856071,66800000,18.3523664023141,21.8052379224628,0.444939698287873
101,1.94931603382962,0.226558380224584,0.0233580035815249,0.140477323856071,66800000,18.3523664023141,21.8052379224628,0.444939698287873
111,2.35908982615021,0.257284636467968,0.0194140955528752,0.134524731469709,66800000,19.241428095882,12.8016277493677,0.124435615212086
121,2.60993182737782,0.194473213662542,0.0221205069516815,0.131781033583076,66800000,19.1305814831555,11.6750384691046,-0.200945143986241
131,2.4340831922507,0.193515475484222,0.00678657553846949,0.140937290831988,66800000,18.3341227645178,22.4558127988127,0.823142659834368
141,1.71690861076429,0.291769367109541,0.0484163038768473,0.142416861600397,66800000,17.6113430244437,34.510437304324,-0.621968424428015
151,1.81894097767833,0.264635467988542,0.0427098750372754,0.144293249876073,66800000,15.2394671230409,23.8829984308415,-0.477184865878992
161,2.110867824051,0.453383211973727,0.0679452743169521,0.140345898742977,66800000,15.9885394159109,16.0307074376456,-1.77790379672462
171,3.09254523822866,0.18885759234735,0.0484323332859123,0.137436800123888,66800000,17.1763031509337,10.7030586076935,0.196936682473184
181,2.44700544747539,0.243694356819382,0.050990710200172,0.144917848702565,66800000,16.5311668829753,1.58349269738335,0.92760468088483
191,2.4440907500472,0.274630539827948,0.0314320751593668,0.146579035740057,66800000,16.5995582723715,4.24920404034842,0.449403643969541
201,2.4440907500472,0.274630539827948,0.0314320751593668,0.146579035740057,66800000,16.5995582723715,4.24920404034842,0.449403643969541
211,2.4440907500472,0.274630539827948,0.0314320751593668,0.146579035740057,66800000,16.5995582723715,4.24920404034842,0.449403643969541
221,2.4440907500472,0.274630539827948,0.0314320751593668,0.146579035740057,66800000,16.5995582723715,4.24920404034842,0.449403643969541
231,2.4440907500472,0.274630539827948,0.0314320751593668,0.146579035740057,66800000,16.5995582723715,4.24920404034842,0.449403643969541
241,2.8417801565628,0.311657316728269,0.0521986750092555,0.14394121801659,66800000,17.6862174286657,8.15353435260616,0.00131051527847426
251,2.71152788732666,0.30781168665013,0.0472259702872425,0.14079835863241,66800000,16.7738497467734,26.9042273556758,0.400879710466425
261,2.71152788732666,0.30781168665013,0.0472259702872425,0.14079835863241,66800000,16.7738497467734,26.9042273556758,0.400879710466425
271,2.54354414950462,0.184561547192581,0.0591134798450116,0.140355800938619,66800000,15.9877933586768,26.2421370975131,0.731348216184084
281,3.1941646610104,0.197413427077622,0.0349505969167003,0.14391904714654,66800000,17.5862881489318,34.0491490151594,-0.0372303322208785
291,3.18515401248809,0.156845950446973,0.055477523403713,0.133018580884814,66800000,19.5468361085654,37.0681099317522,-2.72001956798188
301,3.0384706109659,0.197319011980866,0.0752670624271722,0.137592985481807,66800000,18.0547171341092,42.2486249513202,0.34674139744535
311,3.0384706109659,0.197319011980866,0.0752670624271722,0.137592985481807,66800000,18.0547171341092,42.2486249513202,0.34674139744535
321,3.0384706109659,0.197319011980866,0.0752670624271722,0.137592985481807,66800000,18.0547171341092,42.2486249513202,0.34674139744535
331,2.96303353750364,0.182112207112249,0.0766876982509353,0.136332661933213,66800000,17.9147294999526,36.6358498394415,0.124301650845868
341,2.66605596480071,0.183543927623854,0.0632798691376269,0.133939098863757,66800000,17.2739794855652,22.4641528624739,0.397092524185668
351,2.63472440256933,0.386624075085656,0.0221833701558064,0.133268960857242,66800000,16.9129428227251,36.5383749985842,-1.04422969947372
361,2.65449059597465,0.31008415867069,0.0563230769214834,0.132500713890415,66800000,16.9932270049795,23.5144050124776,-0.148420296446111
371,2.07579556023069,0.261215938555607,0.0260564111756165,0.135358445985979,66800000,20.4313188824276,1.10137391053309,-0.991012268846795
381,1.96089046389906,0.236432548857379,0.0292970095580847,0.138433202244831,66800000,21.1894385086001,5.61312562699579,-1.55073646810016
391,1.96089046389906,0.236432548857379,0.0292970095580847,0.138433202244831,66800000,21.1894385086001,5.61312562699579,-1.55073646810016
401,2.16580396885225,0.174589519797317,0.0129429729789032,0.138247494749018,66800000,20.6665591843743,10.5830693414974,-1.40272855879117
411,2.30651851613859,0.171575431932104,0.0102576038211642,0.128632918793473,66800000,18.8933051785868,30.350872443627,-1.43757352510662
421,3.11000955556643,0.1464352791011,0.0214818711426873,0.124865248261646,66800000,18.2952489466023,31.3611184757242,-4.71721202054003
431,2.82258164930354,0.387171404874227,0.0652364568464189,0.136317742968277,66800000,17.1243852565154,36.8145438287652,-0.900078223233672
441,1.89176277143912,0.289741912080916,0.0806842491340537,0.136405507225375,66800000,19.1823887574391,15.7478308113092,-0.730843355748027
451,2.15464637175913,0.194857254164648,0.00412253638196697,0.141905032965209,66800000,17.404806815451,12.3276737996882,0.790349113793344
461,2.31100066795486,0.301141730485584,0.00755957818544888,0.140868668766407,66800000,17.4968322118958,40.7243239948243,0.480714860049274
471,2.85920711440064,0.165076680404273,0.0379384163861911,0.138651848385401,66800000,16.6721849736291,33.3485431430005,-0.217303517605458
481,2.23975913903117,0.216431917552763,0.0633869577761065,0.138994472302871,66800000,16.6894415419947,34.9575839282375,1.12102041289439
491,2.28825048166613,0.20975825839075,0.0488211074352392,0.133563620156772,66800000,15.7693881220363,42.9510153705102,0.548640798120768
501,2.11708170589235,0.233254379152308,0.0861132990528872,0.132538060326669,66800000,15.6528523035992,43.7279842428169,0.175169101445861
511,2.11708170589235,0.233254379152308,0.0861132990528872,0.132538060326669,66800000,15.6528523035992,43.7279842428169,0.175169101445861
521,2.11708170589235,0.233254379152308,0.0861132990528872,0.132538060326669,66800000,15.6528523035992,43.7279842428169,0.175169101445861
531,1.93710447407677,0.299030913308189,0.0924778373407751,0.130238894666459,66800000,16.9011331207564,35.2189959139875,-0.989081041749045
541,2.81903442534833,0.237200451484812,0.0641204235324885,0.140249523977931,66800000,13.1530191464892,23.992435815774,-0.808390407837433
