"sampno","R0","sigma","rho","theta","N","psi","t0","lnlike"
1,2.5,0.222222222222222,0.01,0.14,66870000,17,59,1.28609099710813
11,2.98231609982219,0.236487550029593,0.0331534049496413,0.147559027761151,66870000,18.7328048893886,43.7143354668725,-0.174385144967199
21,2.75481132587747,0.19411366881192,0.0257933299778328,0.141327468097808,66870000,17.1211068915614,57.3166247312045,0.924113884147217
31,2.32888192485016,0.227388153883881,0.0268171914848335,0.136986073938089,66870000,20.3620994847571,29.1240434664635,-0.283353088813386
41,2.37129388873808,0.30135498725786,0.0807996427495737,0.136544632520604,66870000,18.3152234143085,66.5284176677772,0.216748057431037
51,2.33224229484498,0.173167338018223,0.0813096099708817,0.142752982287332,66870000,17.883022749,45.7808168804431,0.242495846830368
61,2.90161429357811,0.241482644181251,0.0802576238659717,0.134107681866018,66870000,19.9886616085852,17.9534261069771,-0.57169930509183
71,2.83210960039577,0.32824842247497,0.095654391476052,0.140129600576801,66870000,19.6681648572826,59.8095622963576,-0.880932106992365
81,2.83210960039577,0.32824842247497,0.095654391476052,0.140129600576801,66870000,19.6681648572826,59.8095622963576,-0.880932106992365
91,2.35524051349682,0.183651449327204,0.0376048187832511,0.151834568070139,66870000,19.170988720785,30.3075084996761,-1.22072609683983
101,2.27550711875252,0.189671452050838,0.0316952573014945,0.143198562534232,66870000,17.6215068058054,54.2540972740184,0.734412994814429
111,2.62024597697196,0.224610452264776,0.0127483648216423,0.141615238324735,66870000,16.840186676642,56.2987787177665,1.22621318470863
121,2.88958067776331,0.245533750836912,0.0166507817781751,0.141177145990623,66870000,16.8622266072121,25.1457527744288,0.874765505725477
131,2.59121421306937,0.280869167560788,0.0391442255810506,0.135217011057321,66870000,18.6890767517361,7.72325292915512,0.237943686734831
141,2.27232063872961,0.44743836431959,0.00208094424853244,0.141881495789995,66870000,16.8967952856007,23.6618016746341,-1.42027666671935
151,3.14710767187128,0.517245388211933,0.0793469073889557,0.129456518269819,66870000,17.8646277461807,6.75347165176169,-4.07311747800253
161,3.17738071219041,0.328210403199493,0.0217609191547226,0.142591824808608,66870000,17.9055604177875,72.4401183933528,-0.858507000908983
171,3.65887032945847,0.328855793559271,0.00330925066358597,0.149269585938782,66870000,18.7683600638551,47.7995865338684,-3.73210946178311
181,3.32749278726401,0.268491014208017,0.0343841159898546,0.15442131924964,66870000,19.1435918309513,60.5749142393577,-3.08064418004468
191,3.565852104539,0.351957463066005,0.049992767644899,0.148618750495885,66870000,18.3163379824448,62.233017659424,-3.33629373662919
201,3.12875494909092,0.190184126536176,0.0163638030548894,0.150882540429198,66870000,17.9133298050757,61.6026544902236,-1.10464145910144
211,2.52035228152312,0.252586034684291,0.0129164241884483,0.145736262650436,66870000,22.0429577789768,57.6196681920109,-2.37574270480216
221,1.58920057637078,0.241750859169641,0.00806203580155603,0.143051401208666,66870000,17.8123973706956,15.8922192958906,-0.616599353822151
231,2.25226801532175,0.185199878511386,0.0106305146870768,0.143301489243466,66870000,17.7023523421193,15.6264041684168,0.58584909476958
241,2.23509254455004,0.254193208914998,0.0682527810241075,0.13674352113636,66870000,19.3227579776368,49.3594220712748,0.202958457991417
251,2.60425067358843,0.22782741486287,0.0672650130794304,0.147903761596892,66870000,18.2381394899293,39.8266441368596,0.429158935442828
261,2.61845131739279,0.227987647661568,0.00721677690120373,0.154534391410823,66870000,13.2534587365357,24.4491055083851,-2.65861407499339
271,2.04563717594366,0.247196793983556,0.005153064906767,0.150605999625071,66870000,15.3690886749094,32.1524677478521,-0.71046178727057
281,2.23071805086334,0.300275797257569,0.0466367222471995,0.140964450400111,66870000,14.7779667731433,8.82612899444793,-0.169737080241466
291,1.8289020218237,0.216335227365607,0.0201756777327528,0.138915773773975,66870000,13.1880376751123,37.8475071466585,-1.45052916034245
301,2.45104962921993,0.314494182520992,0.0520663866858395,0.144822381674554,66870000,17.8932174025004,46.956904217564,0.0726853211486032
311,2.66676380397979,0.282507549630026,0.0289617353458635,0.144233115783349,66870000,19.0677403638772,13.7427328088626,0.0521164403861301
321,2.01424841649514,0.317756790185079,0.0917269421108779,0.14420492896705,66870000,17.221867305669,56.7292403537311,-0.287616049958533
331,2.53049810762266,0.16628829754324,0.0292516834352039,0.138088809366081,66870000,17.1594649095981,60.358415009473,0.0982085452175472
341,2.53061022849098,0.253320710199981,0.0875370177427422,0.130777744978039,66870000,14.092941634539,50.3894483332498,-0.792605682633654
351,2.33540643230648,0.18568483864935,0.0902048117403758,0.133507216342722,66870000,17.0999288825837,46.8522857272881,0.408467028892832
361,2.33540643230648,0.18568483864935,0.0902048117403758,0.133507216342722,66870000,17.0999288825837,46.8522857272881,0.408467028892832
