"sampno","R0","sigma","rho","theta","N","psi","t0","lnlike"
1,2.5,0.222222222222222,0.01,0.14,66870000,17,59,1.28609099710813
11,2.83689217581414,0.222222222222222,0.0167749484395608,0.14,66870000,17.6789644272067,61.2234527894761,1.00147423418206
21,2.76725725587457,0.222222222222222,0.0194806287670508,0.14,66870000,19.2357314289547,61.5148326694034,0.518426237670915
31,2.76725725587457,0.222222222222222,0.0231342768552713,0.14,66870000,20.0404998769518,67.022126207361,-0.012341822245066
41,2.69739534708206,0.222222222222222,0.0265997700858861,0.14,66870000,19.8667337389197,66.2122973186197,0.180890859776267
51,2.71273753109854,0.194690065251456,0.0287052699876949,0.14,66870000,18.6544894484104,63.5385513786459,0.65092686542085
61,2.31399469478056,0.194690065251456,0.03564732584171,0.14,66870000,17.0680709769949,63.7550769621739,1.01383314218115
71,1.89373204773292,0.194690065251456,0.0316228358773515,0.14,66870000,17.2236126427306,65.9129362079548,0.342236309918481
81,1.8311557283625,0.194690065251456,0.0277375038946047,0.14,66870000,17.1265721366508,71.7104555530241,0.186900413932701
91,1.45737384911627,0.194690065251456,0.0266258912836202,0.14,66870000,18.236583692953,73.185826954199,-1.28167268816358
101,1.95058721946552,0.194690065251456,0.0225065199425444,0.14,66870000,18.1353378632339,74.3403817313956,0.318775481768535
111,1.92512748739682,0.194690065251456,0.0230052311508916,0.14,66870000,17.935087344842,70.5311798738549,0.313352942255492
121,2.35867371382192,0.289418061237989,0.0249145619547926,0.14,66870000,16.4145112275146,67.746873816126,0.657501401369447
131,2.27826367588714,0.435154469192235,0.0281403189199045,0.14,66870000,16.8798419424565,65.5874827461084,-1.23837368834166
141,1.94153034028131,0.435154469192235,0.023816506608855,0.14,66870000,16.5538728690008,67.0673908436438,-1.78689034740973
151,1.81887670813594,0.285749385107516,0.0265763541986235,0.14,66870000,16.4671640871093,63.7331173921702,-0.177686151255898
161,2.02635842238087,0.285749385107516,0.024017227422446,0.14,66870000,15.3441669528838,65.7237960291095,-0.00573458314749775
171,2.25901990935672,0.216047727709843,0.0193961663218215,0.14,66870000,15.3523797779344,68.773054519319,0.822346773960593
181,2.00183209988754,0.187285369934721,0.0117699012160301,0.14,66870000,15.3023510233033,68.552197381272,0.0771627192118105
191,2.07686755547766,0.187285369934721,0.0121883515571244,0.14,66870000,14.1337392239366,67.5805849684402,-0.451256747138255
201,2.12675365877803,0.187285369934721,0.00906231392640622,0.14,66870000,13.9275757326977,64.0797702604905,-0.524842783633036
211,2.55959773987997,0.252370051082431,0.00364412241149695,0.14,66870000,14.314712262596,66.6582406961825,0.233153035463015
221,2.34074310674332,0.252370051082431,0.00428847010480241,0.14,66870000,14.3649207054404,64.796837953967,0.222922218565559
231,2.77366263314616,0.402374259403182,0.00105399908497931,0.14,66870000,13.972489815671,62.2376627012855,-2.03903064263404
241,2.8147013197653,0.402374259403182,0.00490918972995133,0.14,66870000,13.9370514509501,63.9260053661419,-2.11430149763599
251,2.40907125403173,0.402374259403182,0.00382406554883347,0.14,66870000,13.9370514509501,66.065660195658,-1.93276372999867
261,2.47091485634446,0.402374259403182,0.00569839134812356,0.14,66870000,13.5889426413923,59.9083928528707,-2.19962685867293
271,2.29628246729262,0.506902808064802,0.00983910153154285,0.14,66870000,14.7862064016517,60.6370174795156,-2.60297989284329
281,2.04878970305435,0.202545955285637,0.00308330559171737,0.144931142786518,66870000,13.8270127527648,59.8882096700836,-0.723246223700757
291,2.11671861505601,0.214318575311659,0.00768031869083644,0.144931142786518,66870000,14.7699285268318,62.630215007579,0.10873534495728
301,1.95240225689486,0.214318575311659,0.00649667997146026,0.139596477719024,66870000,16.7907630848931,67.3510925370501,0.665460486982858
311,1.67009614945855,0.214318575311659,0.00173961146734654,0.149011934306473,66870000,15.9635568571975,70.761456161621,-1.06816057458999
321,2.36903437792789,0.275199681313502,0.00393133734585716,0.149011934306473,66870000,16.437767470954,74.770944810356,0.0083336824901572
331,2.42272074162029,0.257857319924774,0.00716601346386596,0.149011934306473,66870000,18.0008572688093,71.0782848459203,0.126837042195191
341,3.01641770221759,0.257857319924774,0.000610987020190797,0.131526234457269,66870000,18.0008572688093,74.1921630406287,-0.298570241162327
351,3.08691194492858,0.257857319924774,0.00387966118752957,0.131526234457269,66870000,17.7683362090029,73.2673476750497,-0.402705174226692
361,3.00729202772491,0.257857319924774,0.0046479963627644,0.131526234457269,66870000,18.0786549729528,74.8460560679669,-0.30010881738985
371,3.08373032787349,0.257857319924774,0.000840077744796865,0.131526234457269,66870000,18.0786549729528,73.2183595184469,-0.466900605961941
381,2.23701612041332,0.349109438506679,0.00328726987587289,0.131526234457269,66870000,17.1850209396798,73.0646581344772,-0.926752683149004
391,2.21948606939986,0.530262167824225,0.00298799578566105,0.131526234457269,66870000,17.8073814382078,74.3112926996546,-3.10233429142042
401,2.82780898709316,0.530262167824225,0.00486972023965792,0.131526234457269,66870000,18.2817023164825,73.0535175142577,-3.28373763010131
411,2.33052810628433,0.57485898051204,0.00235945065040142,0.131526234457269,66870000,17.3135651815683,70.9301966234343,-3.32636448759602
421,2.3940433033742,0.57485898051204,0.00171038774773479,0.131526234457269,66870000,16.8912749026203,72.1963920465205,-3.28056393816011
431,2.1488315848168,0.57485898051204,0.00263497694861143,0.131526234457269,66870000,16.8988781002117,68.9725881061749,-3.50454936816204
441,2.2746348057175,0.817063998922499,0.00376233819173648,0.131526234457269,66870000,16.1773530794308,72.8506998785306,-4.9992166471883
451,1.84306726248469,0.630676350116523,0.00148725596256555,0.131526234457269,66870000,17.4972630378324,69.0357442448148,-4.58750573216597
461,2.14831132029649,0.600664699941667,0.00537617043126375,0.131526234457269,66870000,18.3639640342444,72.1491041532718,-3.94564587451497
471,2.4633565296419,0.166153659138622,0.00599858663743363,0.131526234457269,66870000,17.4446098173503,69.1332791382447,-0.626964804867476
481,2.51628885460086,0.166153659138622,0.0102839154726826,0.14706527990289,66870000,17.8569973998237,67.5255074233282,-0.46857394141107
491,2.74853974042926,0.265561221426146,0.0119008656661026,0.14706527990289,66870000,19.02005061612,69.4485475522233,-0.126562065456278
501,2.32326290898491,0.265561221426146,0.0096012710640207,0.14706527990289,66870000,18.9562284345739,69.5560386588331,-0.033768208560514
